id,name,set,card_id,image_uris
1,"Adaptive Shimmerer",iko,d8a2e243-e446-46c6-8a37-e26620951c41,eld/iko-1-adaptive-shimmerer.jpg
2,Farfinder,iko,53f63f40-46f1-4b9e-b447-ff9274f2b926,eld/iko-2-farfinder.jpg
3,"Mysterious Egg",iko,cdfac3c3-7f38-49d6-bd88-dc0f5001116f,eld/iko-3-mysterious-egg.jpg
4,"Blade Banish",iko,35a30091-7f68-4a67-b47e-f44318fc93b2,eld/iko-4-blade-banish.jpg
5,"Checkpoint Officer",iko,4a0e12f5-7b15-4a8c-b045-35bcbf1fbb90,eld/iko-5-checkpoint-officer.jpg
6,"Coordinated Charge",iko,129c404b-2c1e-4f0b-bb4e-7e8e627a69a8,eld/iko-6-coordinated-charge.jpg
7,Cubwarden,iko,cc322744-5d8f-448d-b868-381bb86b68f9,eld/iko-7-cubwarden.jpg
8,"Daysquad Marshal",iko,17d566bd-f272-49d1-bffb-588f2a42046a,eld/iko-8-daysquad-marshal.jpg
9,"Divine Arrow",iko,5b29acc2-5749-4e8a-924d-3c82406e6393,eld/iko-9-divine-arrow.jpg
10,"Drannith Healer",iko,ff5a821c-eaec-4f69-97c7-8299cdebc2f4,eld/iko-10-drannith-healer.jpg
11,"Drannith Magistrate",iko,98b0a4a8-9319-451b-9b79-b0bca7a41e91,eld/iko-11-drannith-magistrate.jpg
12,"Fight as One",iko,5c62ea13-9bd5-46ce-a861-68cf9a2c6f8c,eld/iko-12-fight-as-one.jpg
13,"Flourishing Fox",iko,78b81339-746d-4f71-9943-01c0f6a5683a,eld/iko-13-flourishing-fox.jpg
14,"Garrison Cat",iko,e7ff8345-227c-43b4-bed5-af3a34c0a990,eld/iko-14-garrison-cat.jpg
15,"Helica Glider",iko,8fc88fe0-2424-49a7-9abf-4773a547d010,eld/iko-15-helica-glider.jpg
16,"Huntmaster Liger",iko,058d6a7d-12b0-4d82-a5bd-91fa44bbc5e1,eld/iko-16-huntmaster-liger.jpg
17,"Imposing Vantasaur",iko,b6fa5feb-f5e9-4079-acc9-84e458044769,eld/iko-17-imposting-vantasaur.jpg
18,"Keensight Mentor",iko,a0583065-9a6c-4ea4-b6dd-2edfbaed1181,eld/iko-18-keensight-mentor.jpg
19,"Lavabrink Venturer",iko,38c0d9d6-c9c7-4169-8106-400445643a1a,eld/iko-19-lavabrink-venturer.jpg
20,"Light of Hope",iko,bcb00599-e082-49b0-88f3-ef91b75595e4,eld/iko-20-light-of-hope.jpg
21,"Luminous Broodmoth",iko,bb65df55-d6a6-4a57-a903-e5eb17637982,eld/iko-21-luminous-broodmoth.jpg
22,"Majestic Auricorn",iko,8df320c9-449a-457e-8688-f611aceb3352,eld/iko-22-majestic-auricorn.jpg
23,"Maned Serval",iko,5ac51e35-e2c5-4457-981c-e59894584288,eld/iko-23-maned-serval.jpg
24,"Mythos of Snapdax",iko,2712a1a3-dd28-44c8-a661-5bcf68d3acaa,eld/iko-24-mythos-of-snapdaz.jpg
25,Pacifism,iko,47adc9fc-d620-4cb7-a03c-8d9578992249,eld/iko-25-pacifism.jpg
26,"Patagia Tiger",iko,be398100-89e2-432b-8017-74fb7e4dbc26,eld/iko-26-patagia-tiger.jpg
27,"Perimeter Sergeant",iko,2a174587-d964-48b3-8f69-fa576c1b8bba,eld/iko-27-perimeter-sergeant.jpg
28,"Sanctuary Lockdown",iko,1387b7be-f69e-4919-9070-a89654c656f3,eld/iko-28-sanctuary-lockdown.jpg
29,"Savai Sabertooth",iko,d46702b0-7e10-462a-9aac-7564efe91804,eld/iko-29-savai-sabertooth.jpg
30,"Snare Tactician",iko,5f640e0c-298d-4a5f-94d0-d839cf06ca86,eld/iko-30-snare-tactician.jpg
31,"Solid Footing",iko,0900a8d1-a1b1-48c9-8af1-726a623c7d74,eld/iko-31-solid-footing.jpg
32,"Splendor Mare",iko,535ccc75-b24e-4071-b6a0-fc5267a454e3,eld/iko-32-splendor-mare.jpg
33,"Spontaneous Flight",iko,3dc24dd4-d259-4687-8247-f56aa7abb5b9,eld/iko-33-spontaneous-flight.jpg
34,"Stormwild Capridor",iko,2afded81-2fc1-4285-bf48-d25f72e72138,eld/iko-34-stormwild-capridor.jpg
35,"Swallow Whole",iko,c3b9140b-848f-4886-8c28-eccd3829a607,eld/iko-35-swallow-whole.jpg
36,"Valiant Rescuer",iko,a2b13ff6-67e9-4760-aef4-a8548ea44344,eld/iko-36-valiant-rescuer.jpg
37,Vulpikeet,iko,07bce816-3d18-4ca1-b88f-7307ec7c345d,eld/iko-37-vulpikeet.jpg
38,"Will of the All-Hunter",iko,aa7acbfa-ce3b-424d-886d-6865bc5fc085,eld/iko-38-will-of-the-all-hunter.jpg
39,"Aegis Turtle",iko,e433e7f0-7417-4dfe-a7a4-3f222b0a835f,eld/iko-39-aegis-turtle.jpg
40,Anticipate,iko,46b6dfb2-ffe4-44fb-bfd9-df11bc3193df,eld/iko-40-anticipate.jpg
41,Archipelagore,iko,f24b1030-64d5-4c94-a04c-1d9520bfddab,eld/iko-41-archipelagore.jpg
42,"Avian Oddity",iko,f325873b-97de-4701-910f-ec5cdb66de33,eld/iko-42-avian-oddity.jpg
43,"Boon of the Wish-Giver",iko,0e790851-f0f7-4f1a-80e6-94be649499b6,eld/iko-43-boon-of-the-wish-giver.jpg
44,"Capture Sphere",iko,3c1d2d9d-6eee-4334-bbbe-87e026fa6fc0,eld/iko-44-capture-sphere.jpg
45,Convolute,iko,3fd8e607-8179-4ae8-ba7f-f5f22649dc18,eld/iko-45-convolute.jpg
46,Crystacean,iko,32afec8a-dbae-446e-919a-3efb556f5cb1,eld/iko-46-crystacean.jpg
47,"Dreamtail Heron",iko,ca777d40-736a-4cd6-85c4-5afd52f2fadd,eld/iko-47-dreamtail-heron.jpg
48,"Escape Protocol",iko,2d3eeddd-c86d-4f35-ba57-3caa9565fcb0,eld/iko-48-escape-protocol.jpg
49,"Essence Scatter",iko,5f79c8a0-291e-4e13-b765-4cf8c726cf30,eld/iko-49-essence-scatter.jpg
50,"Facet Reader",iko,b1199596-ae77-4192-ae70-3e2ebd009b64,eld/iko-50-facet-reader.jpg
51,"Frost Lynx",iko,dfcaeccc-fc8c-4a9e-80d5-b48da71d7ff1,eld/iko-51-frost-lynx.jpg
52,"Frostveil Ambush",iko,deef1197-e40a-4c9d-919a-213f1bdf3e3e,eld/iko-52-frostveil-ambush.jpg
53,Glimmerbell,iko,54f71f8a-546a-465e-a254-09a3ae873ef4,eld/iko-53-glimmerbell.jpg
54,"Gust of Wind",iko,faabea92-d8cf-4591-b528-3e597d56b31f,eld/iko-54-gust-of-wind.jpg
55,"Hampering Snare",iko,5f7b331a-bd21-429b-a49f-88da9a31c98e,eld/iko-55-hampering-snare.jpg
56,"Keep Safe",iko,febfa682-76ae-4979-a40c-c1eae1121f3c,eld/iko-56-keep-safe.jpg
57,"Mystic Subdual",iko,627c2111-b7d7-40bc-aa30-57d72338b32d,eld/iko-57-mystic-subdual.jpg
58,"Mythos of Illuna",iko,f1b07082-c5a5-4283-a2f5-5b1e0120d752,eld/iko-58-mythos-of-illuna.jpg
59,Neutralize,iko,0430da3c-9460-4b62-ae28-2e7e6f4d06a4,eld/iko-59-neutralize.jpg
60,"Of One Mind",iko,c95fb136-f21d-4f3a-82b7-bcf490b7e90c,eld/iko-60-of-one-mind.jpg
61,"Ominous Seas",iko,ce8965f2-756a-4461-a643-db024a11c2de,eld/iko-61-ominous-seas.jpg
62,"Phase Dolphin",iko,88fb4042-e9c1-4b0f-b1f6-4180b0d79663,eld/iko-62-phase-dolphin.jpg
63,"Pollywog Symbiote",iko,77adf375-e7d7-4ebd-8c86-ad7e822a5483,eld/iko-63-pollywog-symbiote.jpg
64,"Pouncing Shoreshark",iko,c859b339-b55b-41fe-948c-27502e3b3ea8,eld/iko-64-pouncing-shoreshark.jpg
65,"Reconnaissance Mission",iko,ae9f7efa-d125-4f83-825e-172ea099a62a,eld/iko-65-reconnaissance-mission.jpg
66,"Sea-Dasher Octopus",iko,a6f59d9e-6c1b-437a-934c-7c776c8dd1d5,eld/iko-66-sea-dasher-octopus.jpg
67,"Shark Typhoon",iko,1da4d4f3-b3cb-4b61-81b8-06ae441c41bf,eld/iko-67-shark-typhoon.jpg
68,"Startling Development",iko,a12680db-957f-48c1-9062-2edd9115ba26,eld/iko-68-startling-development.jpg
